basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmmon,sim_mean_mmmon
StonyCreek,0.9561,0.9134,0.7459,0.9568,708,0.621,0.7559,28.1581,0.9371,360,25.0747,25.2618
BearRiver,0.9834,0.9672,-0.1068,0.9837,708,0.8957,0.9534,-9.7443,0.9789,360,44.7981,44.7502
CacheCreek,0.9051,0.8783,3.5026,0.9455,708,0.9013,0.8468,6.0298,0.9263,360,27.3346,28.2921
PutahCreek,0.9847,0.9694,-0.0149,0.9847,708,0.7995,0.8537,-12.3377,0.9286,360,28.8788,28.8745
CosumnesRiver,0.982,0.9646,0.3269,0.9823,708,0.9702,0.9458,-0.4488,0.9733,360,28.4819,28.575
MokelumneRiver,0.9546,0.9091,0.1821,0.9547,708,0.8593,0.8012,10.1569,0.9068,360,54.695,54.7946
CalaverasRiver,0.9783,0.9569,-0.0359,0.9785,708,0.9299,0.9333,-2.2399,0.9664,360,18.8801,18.8733
ChowchillaRiver,0.9559,0.9117,0.0214,0.9559,708,0.8841,0.9136,-8.0123,0.957,360,10.9496,10.9519
FresnoRiver,0.9614,0.9229,-0.17,0.9615,708,0.6585,0.7084,16.169,0.9237,360,12.4949,12.4736
