set,basin,which,ref_kind,n_months,kge,nse,pbias
11obs,AMF,sac,unimp,1167,0.9700621816482216,0.9494899430449423,-0.03076966416228958
11obs,AMF,vic,unimp,1167,0.8327886236111294,0.849378527938828,6.907660235574677
11obs,BND,sac,unimp,1167,0.8866720724721247,0.9134195856171672,4.76763335627843
11obs,BND,vic,unimp,1167,0.8199785961106248,0.8939316733546422,-2.122244933482324
11obs,FTO,sac,unimp,1167,0.9614439227998571,0.9318161009383763,-1.7794208502371542
11obs,FTO,vic,unimp,1167,0.7438563167394061,0.8262780809111451,10.899776017085994
11obs,MRC,sac,unimp,1167,0.9402978319537879,0.9261441063135065,4.26587953015263
11obs,MRC,vic,unimp,1167,0.7315883283927354,0.8168805899591332,16.983998446262127
11obs,SHA,sac,unimp,1167,0.9392183265361624,0.8891187812860342,0.05219509048436348
11obs,SHA,vic,unimp,1167,0.7810579348485305,0.8697082357942654,2.3965286998240165
11obs,SJF,sac,unimp,1167,0.9207878731611853,0.9146285011963835,5.96039741101276
11obs,SJF,vic,unimp,1167,0.7815213620272526,0.8096077998082977,-1.1232196266872083
11obs,SNS,sac,unimp,1167,0.9580968868299361,0.921250490687421,-0.8387438610256704
11obs,SNS,vic,unimp,1167,0.7172544477523854,0.8101092278131526,18.163524790923514
11obs,TLG,sac,unimp,1167,0.9371729664757003,0.9274191717600131,4.713987401343752
11obs,TLG,vic,unimp,1167,0.8109424875586945,0.8476930993441585,2.882877070727435
11obs,TNL,sac,unimp,1167,0.7517024109166325,0.6577847646841566,11.722120063735932
11obs,TNL,vic,unimp,1167,0.5737809098699336,0.3736502196390151,15.001999513007943
11obs,YRS,sac,unimp,1167,0.921251763822417,0.9361591801653262,4.518908464102237
11obs,YRS,vic,unimp,1167,0.8018958634246693,0.8539765092452168,6.353716529566014
9unimp,BearRiver,sac,inflow_sum,1167,0.8814132630439367,0.9600168373997285,-11.73736169455925
9unimp,BearRiver,vic,inflow_sum,1167,0.7660680108256721,0.8896064618192155,4.765642916740081
9unimp,CacheCreek,sac,inflow_sum,1167,0.8975487252540271,0.8236720413845151,-3.337192941823709
9unimp,CacheCreek,vic,inflow_sum,1167,0.772715230836694,0.7996774693964385,8.273963902198513
9unimp,CalaverasRiver,sac,inflow_sum,1167,0.9161384782882204,0.9343248217654239,5.1205108602414535
9unimp,CalaverasRiver,vic,inflow_sum,1167,0.6305742727417349,0.810531503980129,30.505851030011907
9unimp,ChowchillaRiver,sac,inflow_sum,1167,0.9207606923059857,0.9057817195214545,-4.258125776009502
9unimp,ChowchillaRiver,vic,inflow_sum,1167,0.547347872126182,0.8013180933348149,41.06266733835847
9unimp,CosumnesRiver,sac,inflow_sum,1167,0.974680639076956,0.9596654978315095,0.7521065263136308
9unimp,CosumnesRiver,vic,inflow_sum,1167,0.525372702344292,0.7295291267494632,34.871516433511935
9unimp,FresnoRiver,sac,inflow_sum,1167,0.6744390853147404,0.8350776328310274,29.42954784586779
9unimp,FresnoRiver,vic,inflow_sum,1167,-0.18061054991286785,0.07291220122623676,94.99529901105781
9unimp,MokelumneRiver,sac,inflow_sum,1167,0.937390638067531,0.8762675611666043,0.8780926599127449
9unimp,MokelumneRiver,vic,inflow_sum,1167,0.8275905159097372,0.7824766164093262,11.432478106965265
9unimp,PutahCreek,sac,inflow_sum,1167,0.9693507659192232,0.9505875641580991,-1.7545412244503833
9unimp,PutahCreek,vic,inflow_sum,1167,0.8778072085734799,0.9061319590514023,9.22816264009374
9unimp,StonyCreek,sac,inflow_sum,1167,0.9364242008672682,0.8979398617519528,3.3582276310420283
9unimp,StonyCreek,vic,inflow_sum,1167,0.817677589838824,0.8437739888114777,10.932308599338667
