domain,basin,mean_mmday_lto,mean_mmday_livneh,volume_pct_change,daily_corr,monthly_kge_vs_livneh
9unimp,BearRiver,1.3588,1.3946,-2.57,0.9848,0.966
9unimp,CacheCreek,0.8402,0.8066,4.16,0.9347,0.9463
9unimp,CalaverasRiver,0.6324,0.5823,8.6,0.9717,0.8956
9unimp,ChowchillaRiver,0.3447,0.3296,4.56,0.9555,0.9294
9unimp,CosumnesRiver,0.9537,0.8952,6.54,0.9834,0.9032
9unimp,FresnoRiver,0.3462,0.4026,-14.0,0.9519,0.813
9unimp,MokelumneRiver,1.6634,1.738,-4.29,0.9546,0.9247
9unimp,PutahCreek,0.8297,0.8235,0.75,0.941,0.9831
9unimp,StonyCreek,0.7765,0.8001,-2.96,0.9566,0.9146
11obs,AMF,1.7741,1.7783,-0.24,0.9789,0.9896
11obs,BLB,0.6639,0.689,-3.64,0.9446,0.8996
11obs,BND,1.1969,1.1309,5.84,0.9658,0.9367
11obs,FTO,1.5199,1.5091,0.72,0.9885,0.9847
11obs,MRC,1.1711,1.2238,-4.31,0.9747,0.9433
11obs,SHA,1.0391,0.9936,4.57,0.9677,0.9505
11obs,SJF,1.39,1.4179,-1.97,0.9626,0.9552
11obs,SNS,1.452,1.4635,-0.79,0.9567,0.9582
11obs,TLG,1.5708,1.6322,-3.76,0.9557,0.9329
11obs,TNL,2.0745,2.5489,-18.61,0.9246,0.712
11obs,YRS,2.6967,2.5841,4.36,0.977,0.9456
12rim,DPR_I,1.358,1.417,-4.17,0.9523,0.925
12rim,FOL_I,1.7895,1.8004,-0.61,0.9838,0.9881
12rim,LK_MC,1.1429,1.1956,-4.41,0.9868,0.9437
12rim,MILLE,1.4028,1.4288,-1.82,0.9601,0.9404
12rim,N_HOG,0.5994,0.5646,6.17,0.967,0.9183
12rim,N_MEL,1.5261,1.5294,-0.21,0.9441,0.9483
12rim,OROVI,1.3831,1.3734,0.71,0.9836,0.9788
12rim,PRD_C,0.6007,0.6996,-14.13,0.9507,0.8369
12rim,SHAST,1.0894,1.0406,4.69,0.9599,0.9481
12rim,SMART,2.1026,2.0015,5.05,0.9668,0.9397
12rim,TRINI,2.056,2.5423,-19.13,0.9303,0.7185
12rim,WKYTN,2.0558,1.8427,11.56,0.9263,0.8704
