basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_taf,sim_mean_taf
SHA,0.6991,0.83,-16.0856,0.9718,192,0.709,0.805,-25.1268,0.9667,987,482.5583,404.9361
BND,0.6979,0.6987,-15.5974,0.9204,48,0.7758,0.8932,-22.1075,0.9764,1131,693.9709,585.7296
ORO,0.8163,0.8798,4.1072,0.9624,192,0.8458,0.8309,-4.4231,0.9338,987,353.2394,367.7477
FOL,0.93,0.8907,-0.9248,0.9489,192,0.9094,0.8891,-4.7542,0.9437,987,209.2181,207.2832
YRS,0.7675,0.8683,20.0383,0.9582,192,0.862,0.8484,9.5631,0.9355,987,184.6171,221.6112
NML,0.9307,0.9311,0.6802,0.9652,192,0.9035,0.846,3.3454,0.9209,987,89.6764,90.2863
TLG,0.9619,0.9575,-2.7548,0.9795,204,0.9156,0.8958,3.8988,0.9529,975,147.4621,143.3998
MRC,0.9635,0.9417,1.8067,0.9714,180,0.9574,0.9154,0.5414,0.9579,999,81.5678,83.0415
MIL,0.9019,0.9218,-7.2266,0.962,192,0.9102,0.8778,-6.6973,0.9403,987,139.9094,129.7987
MKM,0.9186,0.8519,-2.0179,0.9246,180,0.9157,0.8566,2.3429,0.9266,987,61.7822,60.5355
NHG,0.8845,0.9078,-0.7786,0.9547,192,0.857,0.926,-5.0307,0.9675,975,13.0712,12.9694
