epoch,loss,cal_kge,lr,spinup_s,epoch_s,peak_vram_mb,skipped_steps
0,0.8586305220921834,0.6648924711086898,0.00039999999999999996,99.2,165.7,622,0
1,0.8453051726023356,,0.0006999999999999999,77.7,139.2,650,0
2,0.7797535061836243,0.6807396237753486,0.001,97.8,159.4,651,0
3,0.6547568321228028,,0.0009992483506344914,78.3,139.8,650,0
4,0.529302571217219,0.7069235445161695,0.000996995685272385,100.0,161.7,651,0
5,0.46377868254979454,,0.0009932488451843474,79.1,140.7,650,0
6,0.44518278241157533,0.7331575223831195,0.0009880192094005806,97.4,158.7,651,0
7,0.43690458734830223,,0.0009813226601530789,77.5,139.1,650,0
8,0.43253496487935383,0.7413893773847087,0.000973179534641814,97.4,159.1,651,0
9,0.426761195063591,,0.0009636145632713268,77.5,139.1,650,0
10,0.419434447089831,0.7467324159936884,0.0009526567945453009,97.3,158.8,651,0
11,0.41055021385351814,,0.0009403395068472121,77.6,139.0,650,0
12,0.40622559587160745,0.7543966140684383,0.000926700107374972,98.6,159.9,651,0
13,0.3976848254601161,,0.0009117800185364965,77.4,139.0,650,0
14,0.39561290939648946,0.7568532601464035,0.0008956245521512151,98.7,160.1,651,0
15,0.3837097406387329,,0.0008782827718395639,78.0,139.4,650,0
16,0.3840993871291479,0.7673823939886489,0.0008598073440183836,97.5,159.0,651,0
17,0.3757104992866516,,0.0008402543779547422,77.7,139.1,650,0
18,0.3728672613700231,0.7738700461446139,0.0008196832553639344,97.2,159.4,651,0
19,0.3696789234876633,,0.0007981564500691655,79.3,140.9,650,0
20,0.3657751927773158,0.7892135727169245,0.0007757393382706016,99.9,161.7,651,0
21,0.366727543870608,,0.0007525000000000003,77.8,139.3,650,0
22,0.3604774902264277,0.7948156154719468,0.0007285090123638906,99.8,161.2,651,0
23,0.3579087813695272,,0.0007038392352032202,78.4,139.7,650,0
24,0.35601946413517,0.7924676509941139,0.0006785655898204139,98.9,160.3,651,0
25,0.3545393943786621,,0.0006527648314458392,79.4,140.8,650,0
26,0.3534474104642868,0.7977759649259688,0.0006265153161346959,99.1,160.5,651,0
27,0.35488601128260294,,0.0005998967628022509,79.3,140.7,650,0
28,0.35283529857794443,0.796685676657264,0.0005729900111201123,99.2,160.6,651,0
29,0.3487049986918767,,0.0005458767760088049,79.0,140.5,650,0
30,0.3491022338469823,0.7931317767920038,0.0005186393994722405,98.7,160.1,651,0
31,0.3482959300279617,,0.0004913606005277602,78.9,140.4,650,0
32,0.34466584821542107,0.8014496708768806,0.0004641232239911959,98.7,160.1,651,0
33,0.34971263209978737,,0.0004370099888798882,78.7,142.1,650,0
34,0.34668003718058266,0.8059515832270975,0.00041010323719774976,98.4,160.1,651,0
35,0.3387661347786585,,0.0003834846838653047,78.2,139.8,650,0
36,0.34462003608544667,0.8014813253710346,0.0003572351685541614,98.1,159.6,651,0
37,0.3401340494553248,,0.00033143441017958694,77.8,139.4,650,0
38,0.34623549282550814,0.8020971696006116,0.00030616076479678036,97.7,159.2,651,0
39,0.3396651327610016,,0.00028149098763611006,77.9,139.6,650,0
40,0.3471483369668325,0.8031203909602378,0.0002575000000000003,98.0,159.4,651,0
41,0.3377108186483383,,0.00023426066172939892,78.0,139.6,650,0
42,0.3361453394095103,0.8061349895775919,0.00021184354993083508,98.5,160.0,651,0
