basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.8877,0.8295,-7.1291,0.9151,5812,0.8988,0.8485,-6.9039,0.926,5567,1.1406,8047.8054
BND,8900.0,0.8391,0.7371,-10.025,0.8756,1458,0.8766,0.8731,-10.7143,0.9397,5571,1.2101,11400.9931
ORO,3607.0,0.7734,0.8011,-6.8325,0.9007,5480,0.793,0.8092,-11.4067,0.9036,5569,1.557,5945.3263
FOL,1885.0,0.7234,0.7153,-6.6567,0.8496,5063,0.7387,0.775,-8.4413,0.8882,5272,2.0599,4110.52
YRS,1108.0,0.63,0.6636,7.1909,0.8292,5063,0.7564,0.7551,10.2787,0.8726,5545,2.7166,3186.4136
MKM,544.0,0.7535,0.6989,0.2728,0.8363,5195,0.774,0.7153,-10.0858,0.8484,5056,1.8209,1048.6139
NML,900.0,0.8658,0.7685,-4.0687,0.8803,5721,0.8465,0.8101,-11.7793,0.9059,5473,1.5142,1442.6614
NHG,363.0,0.7548,0.7855,2.8592,0.8935,4637,0.755,0.7958,4.8025,0.9,4678,0.658,252.8732
TLG,1538.0,0.733,0.7665,-14.8342,0.8842,5498,0.8238,0.837,-10.7858,0.9184,5157,1.6987,2765.7774
MRC,1061.0,0.8372,0.7917,6.783,0.8907,5463,0.825,0.8266,-6.1565,0.9112,5570,1.1648,1308.346
MIL,1675.0,0.8262,0.8399,-9.8313,0.9198,5721,0.8653,0.8448,-9.8262,0.922,5499,1.3344,2366.0635
PNF,1545.0,0.8426,0.8726,-10.0453,0.9375,5809,0.8734,0.8332,6.6105,0.9265,5549,1.3144,2149.7891
TRM,561.0,0.8587,0.8173,-2.5842,0.9042,5543,0.8146,0.7884,-9.1444,0.89,5503,0.9003,534.6446
SCC,393.0,0.6486,0.7343,-17.6877,0.8745,5228,0.8376,0.6978,6.09,0.8573,5292,0.4767,198.3217
ISB,2074.0,0.8534,0.8059,-5.8818,0.9184,5821,0.8412,0.7676,-10.4962,0.8838,5569,0.3887,853.502
