set,basin,ref_kind,area_before_mi2,scale,area_after_mi2,adj_pct,pbias_before,pbias_after,kge_before,kge_after,nse_before,nse_after
15cdec,BND,unimp,8900.0,1.1,9790.0,10.0,-23.4,-15.8,0.764,0.802,0.881,0.898
15cdec,FOL,unimp,1885.0,1.0,1885.0,0.0,-3.1,-3.1,0.932,0.932,0.889,0.889
15cdec,MIL,unimp,1675.0,1.0,1675.0,0.0,-4.7,-4.7,0.926,0.926,0.884,0.884
15cdec,MKM,inflow_sum,544.0,1.0,544.0,0.0,1.7,1.7,0.918,0.918,0.856,0.856
15cdec,MRC,unimp,1061.0,0.969,1028.1,-3.1,3.2,-0.0,0.941,0.96,0.917,0.921
15cdec,NHG,inflow_sum,363.0,1.041,377.9,4.1,-4.0,-0.0,0.867,0.907,0.923,0.928
15cdec,NML,unimp,900.0,1.0,900.0,0.0,2.5,2.5,0.909,0.909,0.86,0.86
15cdec,ORO,unimp,3607.0,1.0,3607.0,0.0,-2.9,-2.9,0.843,0.843,0.839,0.839
15cdec,SHA,unimp,6665.0,1.0,6665.0,0.0,-22.7,-22.7,0.708,0.708,0.811,0.811
15cdec,TLG,unimp,1538.0,0.969,1490.3,-3.1,3.2,0.0,0.923,0.951,0.906,0.912
15cdec,YRS,unimp,1108.0,0.968,1072.5,-3.2,3.3,-0.0,0.931,0.933,0.877,0.881
9unimp,BearRiver,inflow_sum,281.9,1.05,295.9,5.0,-12.0,-7.6,0.879,0.907,0.96,0.96
9unimp,CacheCreek,inflow_sum,947.9,1.0,947.9,0.0,-4.4,-4.4,0.89,0.89,0.823,0.823
9unimp,CalaverasRiver,inflow_sum,357.9,0.96,343.6,-4.0,4.2,0.0,0.929,0.97,0.936,0.941
9unimp,ChowchillaRiver,inflow_sum,264.5,1.0,264.5,0.0,-3.5,-3.5,0.93,0.93,0.907,0.907
9unimp,CosumnesRiver,inflow_sum,534.4,0.994,531.2,-0.6,0.6,0.0,0.976,0.979,0.96,0.96
9unimp,FresnoRiver,inflow_sum,276.8,0.9,249.2,-10.0,30.8,17.7,0.658,0.812,0.831,0.876
9unimp,MokelumneRiver,inflow_sum,543.6,0.992,539.3,-0.8,0.8,-0.0,0.938,0.939,0.876,0.877
9unimp,PutahCreek,inflow_sum,570.3,1.0,570.3,0.0,-0.5,-0.5,0.974,0.974,0.95,0.95
9unimp,StonyCreek,inflow_sum,743.6,0.965,717.6,-3.5,3.6,0.0,0.934,0.949,0.898,0.902
11obs,AMF,unimp,1862.6,1.0,1862.6,0.0,-0.4,-0.4,0.968,0.968,0.949,0.949
11obs,BLB,inflow_sum,743.9,1.1,818.3,10.0,-10.4,-1.4,0.825,0.93,0.888,0.897
11obs,BND,unimp,9978.2,0.931,9289.7,-6.9,7.4,0.0,0.864,0.952,0.903,0.926
11obs,FTO,unimp,3641.5,1.0,3641.5,0.0,-1.1,-1.1,0.964,0.964,0.931,0.931
11obs,MRC,unimp,1053.1,0.954,1004.7,-4.6,4.9,0.1,0.933,0.959,0.924,0.929
11obs,SHA,unimp,7469.7,0.965,7208.3,-3.5,3.6,-0.0,0.917,0.94,0.873,0.881
11obs,SJF,unimp,1676.1,0.94,1575.5,-6.0,6.3,-0.0,0.918,0.951,0.914,0.922
11obs,SNS,unimp,980.5,1.0,980.5,0.0,-0.0,-0.0,0.959,0.959,0.92,0.92
11obs,TLG,unimp,1536.6,0.954,1465.9,-4.6,4.8,-0.0,0.936,0.957,0.925,0.93
11obs,TNL,unimp,718.6,0.9,646.7,-10.0,15.0,3.5,0.715,0.841,0.625,0.709
11obs,YRS,unimp,1110.1,1.0,1110.1,0.0,-1.3,-1.3,0.969,0.969,0.944,0.944
